"Kod";"Name";"global_id";"Latin_name";"Type";"Kod_okato";
"0100";"Центральный административный округ";"58703558";"Czentral`ny'j administrativny'j okrug";"02";"45286000";
"0101";"район Арбат";"58703559";"rajon Arbat";"03";"45286552";
"0102";"Басманный район";"58703560";"Basmanny'j rajon";"03";"45286555";
"0103";"район Замоскворечье";"58703561";"rajon Zamoskvorech`e";"03";"45286560";
"0104";"Красносельский район";"58703562";"Krasnosel`skij rajon";"03";"45286565";
"0105";"Мещанский район";"58703563";"Meshhanskij rajon";"03";"45286570";
"0106";"Пресненский район";"58703564";"Presnenskij rajon";"03";"45286575";
"0107";"Таганский район";"58703565";"Taganskij rajon";"03";"45286580";
"0108";"Тверской район";"58703566";"Tverskoj rajon";"03";"45286585";
"0109";"район Хамовники";"58703567";"rajon Xamovniki";"03";"45286590";
"0110";"район Якиманка";"58703568";"rajon Yakimanka";"03";"45286596";
"0200";"Северный административный округ";"58703569";"Severny'j administrativny'j okrug";"02";"45277000";
"0201";"район Аэропорт";"58703570";"rajon Ae'roport";"03";"45277553";
"0202";"район Беговой";"58703571";"rajon Begovoj";"03";"45277556";
"0203";"Бескудниковский район";"58703572";"Beskudnikovskij rajon";"03";"45277559";
"0205";"Войковский район";"58703573";"Vojkovskij rajon";"03";"45277565";
"0206";"район Восточное Дегунино";"58703574";"rajon Vostochnoe Degunino";"03";"45277568";
"0207";"Головинский район";"58703575";"Golovinskij rajon";"03";"45277571";
"0208";"Дмитровский район";"58703576";"Dmitrovskij rajon";"03";"45277574";
"0209";"район Западное Дегунино";"58703577";"rajon Zapadnoe Degunino";"03";"45277577";
"0210";"район Коптево";"58703578";"rajon Koptevo";"03";"45277580";
"0211";"район Левобережный";"58703579";"rajon Levoberezhny'j";"03";"45277583";
"0212";"Молжаниновский район";"58703580";"Molzhaninovskij rajon";"03";"45277584";
"0213";"Савёловский район";"58703581";"Savyolovskij rajon";"03";"45277586";
"0214";"район Сокол";"58703582";"rajon Sokol";"03";"45277589";
"0215";"Тимирязевский район";"58703583";"Timiryazevskij rajon";"03";"45277592";
"0216";"район Ховрино";"58703584";"rajon Xovrino";"03";"45277595";
"0217";"Хорошёвский район";"58703585";"Xoroshyovskij rajon";"03";"45277598";
"0300";"Северо-Восточный административный округ";"58703586";"Severo-Vostochny'j administrativny'j okrug";"02";"45280000";
"0301";"Алексеевский район";"58703587";"Alekseevskij rajon";"03";"45280552";
"0302";"Алтуфьевский район";"58703588";"Altuf`evskij rajon";"03";"45280554";
"0303";"Бабушкинский район";"58703589";"Babushkinskij rajon";"03";"45280556";
"0304";"район Бибирево";"58703590";"rajon Bibirevo";"03";"45280558";
"0305";"Бутырский район";"58703591";"Buty'rskij rajon";"03";"45280561";
"0306";"район Лианозово";"58703592";"rajon Lianozovo";"03";"45280563";
"0307";"Лосиноостровский район";"58703593";"Losinoostrovskij rajon";"03";"45280565";
"0308";"район Марфино";"58703594";"rajon Marfino";"03";"45280567";
"0309";"район Марьина Роща";"58703595";"rajon Mar`ina Roshha";"03";"45280569";
"0310";"Останкинский район";"58703596";"Ostankinskij rajon";"03";"45280572";
"0311";"район Отрадное";"58703597";"rajon Otradnoe";"03";"45280574";
"0312";"район Ростокино";"58703598";"rajon Rostokino";"03";"45280577";
"0313";"район Свиблово";"58703599";"rajon Sviblovo";"03";"45280580";
"0314";"район Северное Медведково";"58703600";"rajon Severnoe Medvedkovo";"03";"45280583";
